XXX time_point 4, cid 17 -> FULL
XXX time_point 5, cid 17 -> FULL
XXX time_point 10, cid 17 -> FULL
XXX time_point 11, cid 17 -> FULL
XXX time_point 16, cid 17 -> FULL
XXX time_point 21, cid 17 -> FULL
XXX time_point 26, cid 17 -> FULL
XXX time_point 27, cid 17 -> FULL
XXX time_point 32, cid 17 -> FULL
XXX time_point 33, cid 17 -> FULL
XXX time_point 38, cid 17 -> FULL
XXX time_point 43, cid 17 -> FULL
XXX time_point 48, cid 17 -> FULL
XXX time_point 53, cid 17 -> FULL
XXX time_point 58, cid 17 -> FULL
XXX time_point 59, cid 17 -> FULL
XXX time_point 64, cid 17 -> FULL
XXX time_point 69, cid 17 -> FULL
XXX time_point 70, cid 17 -> FULL
XXX time_point 75, cid 17 -> FULL
XXX time_point 80, cid 17 -> FULL
XXX time_point 85, cid 17 -> FULL
XXX time_point 90, cid 17 -> FULL
XXX time_point 120, cid 17 -> FULL
XXX time_point 125, cid 17 -> FULL
XXX time_point 130, cid 17 -> FULL
XXX time_point 135, cid 17 -> FULL
XXX time_point 140, cid 17 -> FULL
XXX time_point 145, cid 17 -> FULL
XXX time_point 155, cid 17 -> FULL
XXX time_point 165, cid 17 -> FULL
XXX time_point 166, cid 17 -> FULL
XXX time_point 186, cid 17 -> FULL
XXX time_point 206, cid 17 -> FULL
XXX time_point 211, cid 17 -> FULL
XXX time_point 216, cid 17 -> FULL
XXX time_point 236, cid 17 -> FULL
XXX time_point 241, cid 17 -> FULL
XXX time_point 246, cid 17 -> FULL
XXX time_point 251, cid 17 -> FULL
XXX time_point 261, cid 17 -> FULL
XXX time_point 281, cid 17 -> FULL
XXX time_point 286, cid 17 -> FULL
XXX time_point 291, cid 17 -> FULL
XXX time_point 321, cid 17 -> FULL
XXX time_point 326, cid 17 -> FULL
XXX time_point 331, cid 17 -> FULL
XXX time_point 332, cid 17 -> FULL
XXX time_point 337, cid 17 -> FULL
XXX time_point 347, cid 17 -> FULL
XXX time_point 352, cid 17 -> FULL
XXX time_point 357, cid 17 -> FULL
XXX time_point 358, cid 17 -> FULL
XXX time_point 363, cid 17 -> FULL
XXX time_point 368, cid 17 -> FULL
XXX time_point 373, cid 17 -> FULL
XXX time_point 383, cid 17 -> FULL
XXX time_point 384, cid 17 -> FULL
XXX time_point 389, cid 17 -> FULL
XXX time_point 394, cid 17 -> FULL
XXX time_point 399, cid 17 -> FULL
XXX time_point 409, cid 17 -> FULL
XXX time_point 414, cid 17 -> FULL
XXX time_point 419, cid 17 -> FULL
XXX time_point 420, cid 17 -> FULL
XXX time_point 440, cid 17 -> FULL
XXX time_point 445, cid 17 -> FULL
XXX time_point 450, cid 17 -> FULL
XXX time_point 451, cid 17 -> FULL
XXX time_point 456, cid 17 -> FULL
XXX time_point 461, cid 17 -> FULL
XXX time_point 466, cid 17 -> FULL
XXX time_point 467, cid 17 -> FULL
XXX time_point 472, cid 17 -> FULL
XXX time_point 482, cid 17 -> FULL
XXX time_point 487, cid 17 -> FULL
XXX time_point 488, cid 17 -> FULL
XXX time_point 493, cid 17 -> FULL
XXX time_point 523, cid 17 -> FULL
XXX time_point 528, cid 17 -> FULL
XXX time_point 533, cid 17 -> FULL
XXX time_point 538, cid 17 -> FULL
XXX time_point 543, cid 17 -> FULL
XXX time_point 573, cid 17 -> FULL
XXX time_point 578, cid 17 -> FULL
XXX time_point 583, cid 17 -> FULL
XXX time_point 603, cid 17 -> FULL
XXX time_point 608, cid 17 -> FULL
XXX time_point 628, cid 17 -> FULL
XXX time_point 633, cid 17 -> FULL
XXX time_point 653, cid 17 -> FULL
XXX time_point 658, cid 17 -> FULL
XXX time_point 663, cid 17 -> FULL
XXX time_point 668, cid 17 -> FULL
XXX time_point 673, cid 17 -> FULL
XXX time_point 674, cid 17 -> FULL
XXX time_point 679, cid 17 -> FULL
XXX time_point 684, cid 17 -> FULL
XXX time_point 689, cid 17 -> FULL
XXX time_point 694, cid 17 -> FULL
XXX time_point 699, cid 17 -> FULL
XXX time_point 704, cid 17 -> FULL
XXX time_point 709, cid 17 -> FULL
XXX time_point 714, cid 17 -> FULL
XXX time_point 719, cid 17 -> FULL
XXX time_point 724, cid 17 -> FULL
XXX time_point 725, cid 17 -> FULL
XXX time_point 730, cid 17 -> FULL
XXX time_point 735, cid 17 -> FULL
XXX time_point 745, cid 17 -> FULL
XXX time_point 750, cid 17 -> FULL
XXX time_point 751, cid 17 -> FULL
XXX time_point 771, cid 17 -> FULL
XXX time_point 776, cid 17 -> FULL
XXX time_point 796, cid 17 -> FULL
XXX time_point 826, cid 17 -> FULL
XXX time_point 831, cid 17 -> FULL
XXX time_point 832, cid 17 -> FULL
XXX time_point 852, cid 17 -> FULL
XXX time_point 882, cid 17 -> FULL
XXX time_point 887, cid 17 -> FULL
XXX time_point 892, cid 17 -> FULL
XXX time_point 893, cid 17 -> FULL
XXX time_point 898, cid 17 -> FULL
XXX time_point 903, cid 17 -> FULL
XXX time_point 933, cid 17 -> FULL
XXX time_point 938, cid 17 -> FULL
XXX time_point 943, cid 17 -> FULL
XXX time_point 948, cid 17 -> FULL
XXX time_point 953, cid 17 -> FULL
XXX time_point 958, cid 17 -> FULL
XXX time_point 959, cid 17 -> FULL
XXX time_point 964, cid 17 -> FULL
